"HolderAddress","Balance","PendingBalanceUpdate"
"0x998b52fe8cd4cddc300c014c63c02202cfabeebb","0.015147","No"
"0x641884c0b0eb7a2ef7b04977b28b61b6837d961d","0.014787","No"
"0xbf95c3be424d7f8ad413a24eac183eeac3f73018","0.0147","No"
"0x9fa58cd1dee8436064e6c0281f50346aed791dfb","0.014482","No"
"0xc78e8f82bd517af3b66bd99a5445d982b68e7ff6","0.014061","No"
"0x442c62aca4c8cc7dd943ce35ca5698870bd5417f","0.013853","No"
"0x6b2dd40ae1a0346c89adab3b8f3708f3c8e45a70","0.013359","No"
"0x4a183b7ed67b9e14b3f45abfb2cf44ed22c29e54","0.012460995","No"
"0x6c96cf92e2caf6831b79dffde8c67b192afe2606","0.012451","No"
"0xcf9df692cd650f4e3bbc8ab94bb3e2138543bb8c","0.01245","No"
"0xda6e0f02ce97292d683ce119423db2beb2e5ecaa","0.011565","No"
"0x3d5a8c26c5a7160fe2060415ed1bdb80e6414c74","0.010772","No"
"0x4d3dcfa82db769e87c036bbd65bf2976bf03f062","0.01065","No"
"0x60815d3a5193bbd238f991c276dc8f0e7fc491f5","0.01000097","No"
"0xdba013bd436fda1e971b61b0700e476b3b712694","0.01","No"
"0x989e958ac648c5ed7fe613ac2addbc51b4367bed","0.01","No"
"0x6b986400fd94c9d6943b0d68a69193cedd822343","0.01","No"
"0x1884db3e098574531005fdca955ee0c6828e0be3","0.01","No"
"0xf43f3703beb7c243ef3ba8deb3a8babfb5b8839e","0.01","No"
"0x79ad1396d8421d823f509b38b7815c1a6938c203","0.01","No"
"0x00ecb3f6431fdc8e4f2cb78d4151a5ca6c7539a5","0.01","No"
"0x04a8ce9be60121576fbfb455dae5aa94a9b6bf1d","0.01","No"
"0x83c75fecfe58cf7fb865d1e7f1a6d15b4168e050","0.009785","No"
"0x68b37979035208b64abfa0b09ce966d564d3b086","0.009782","No"
"0x2a0458b4db1b84df9814e800473509f0b37d780c","0.009779","No"
"0x63d1d7d033c3fd68186bf3780a65504138ea47e3","0.009761","No"
"0x8e1846542313d120d8dd4e10c6686e095e28ae22","0.009749","No"
"0x1115e7bed26542bf247a7f800a9f48d530c3f955","0.009717","No"
"0x746df5584bac4dcc6b4576894cde62952f4165b7","0.009715","No"
"0x3cfc43978609e8cc7388362628b39186ec42c5c8","0.009711","No"
"0x1ba7a4c3b64e1c22462d7357b3111e210e172726","0.009707","No"
"0x4aea170a8de7f9b20753e28c950af4c52a1aeea2","0.009704","No"
"0xb3c3b4b1e31f9a86c7e03967bd92ddbbab72f34d","0.009679","No"
"0xed84dc0d730639038a154483101e11b3f6aae713","0.009674","No"
"0xe1eb1af9f68e151871c6417258884885d215273b","0.009654","No"
"0xad029cd605c92a8fac8a103aac5492abd8ab3610","0.009641","No"
"0x8fbfdb8b4ee0b0ff5a364e2ff8976d2347ce8bcc","0.009581","No"
"0x70122f20ec212cfdb368c9f0ea71ca95581f5c6b","0.008779","No"
"0xc85649b5b15eb282d925b0dcc02a8203951e1053","0.007165","No"
"0xcf0f8876476042ac75f4b3ce874012034ad44c97","0.007146","No"
"0x00bde4c02a920ac7bbfaea32b72bb51343e6cd74","0.006688","No"
"0xffbebc6141db6c9de82f674e34b8d43cda945e24","0.006085","No"
"0xa3c09f24c9d009aa09c4ba3f2d13ee75dc59052f","0.005725","No"
"0x33bda086b03bed49c1fd8b93be84cb3613e6b6c7","0.005665","No"
"0xff9e5c9ebbbb2af4604e362292532749b031731b","0.00515233","No"
"0xf16ed735376fcd02e8841e32aad398ac483b3835","0.005","No"
"0x3a9ef27215a5d7bb61875c6c9694d0b9b57a8c65","0.004998","No"
"0x70660a4cda90bff33c56972264a0d074e88d6ce3","0.00477","No"
"0x77bc0ae5a83605d26750478c784fda429a81b1e8","0.004748","No"
"0x47f711b74fda04901fb4bad9856129a7701fafb0","0.00468","No"
"0xd34c69b15647ecb611cba05cff81ea1e55c5e79d","0.004458","No"
"0xbc26134656589662e7582ef0e379d10d73987524","0.004253","No"
"0xe7fd24171d3a2ef156573c6ffb7316b043010779","0.004102","No"
"0x62b99e8ce32201b33f3637927dd3e41c047287f1","0.004","No"
"0xce86135bce03eedba76ed02fab81b0e2723547be","0.00363555","No"
"0xef42cf85be6adf3081ada73af87e27996046fe63","0.003084","No"
"0x597cc598e207d40d77df34ead7fef38acf3cb933","0.002917","No"
"0xdc0a1513b5656d10782b9f8608003d946ff7d419","0.002782","No"
"0x2cf8f56381015b317a67ffb18d692aab64c28ad5","0.002773","No"
"0x8d2fd7e70576d9e132131eb7ede08a89e8981c61","0.002742","No"
"0x5b94fd5eb186370416ecd943f281c0b152d55b4d","0.00271","No"
"0x0b3e25e1727dba591a3b2bd6a678e21196188118","0.002696","No"
"0xd1c27dafdbc539782c1853e44c92fc015e4a3bbb","0.002683","No"
"0xe12853cf88a21ee0b62c75959e06a9f22d377d3a","0.002677","No"
"0xee39d0c0a98ba8f703ad77d7f874c34d543ed972","0.002288","No"
"0xb66632809f885cb6d9d3a785fa09e4a223133b43","0.00189","No"
"0xb8efbd3e9dbecf8759f5139009fde89c4351d524","0.001887","No"
"0xe2b54138c90fa1b93eef2d760f844fcc2dbe8dca","0.001731","No"
"0xba2ef5189b762bd4c9e7f0b50fbbab65193935e8","0.001464","No"
"0xa1a8268fbabc5be67a92f0f4df36008ba6276d2e","0.001302","No"
"0x1bd5af42906d58eaa226e4e26f87ac622d674066","0.001257","No"
"0x9a2a014f04220caea4ac9863a2ec6ea103f7ddce","0.001083","No"
"0xcd0ffe9b6f107c048349ccfec2454237c2352d9d","0.001036","No"
"0x9f2991ab80a5988049562bfd5f8593bfa8fd1e62","0.001009","No"
"0x8fe0e1205811d5a7e80ee9dc65ae75cafd71ac8d","0.00100622","No"
"0x1aa15977c0beb1f1a03bb3b5322686e5eb1b703e","0.001","No"
"0x1ffd9409c16f1178359ef2e1a864620eb6662ff9","0.000886","No"
"0x57260a45c6c2564a27215f2b0a8319e112770791","0.000866","No"
"0x44404d5f899a998f50021cca54e4ed21ce27a051","0.000861","No"
"0x5289bc1731dadf03639a1f0b786d43b55964c7e1","0.000856","No"
"0x96b8785174e00fef147390343f1a872a243dc832","0.000783","No"
"0x2540b93287ea012f26897f07051242cb8c7e2318","0.000774","No"
"0x70fdaf739fd3b31cf26b1cd6e6cf09c04eda8895","0.000774","No"
